id,discounted_price,actual_price,discount_percentage,rating,rating_count
0,399.0,1.0,64.0,4.2,24269
1,199.0,349.0,43.0,4.0,43994
2,199.0,1.0,90.0,3.9,7928
3,329.0,699.0,53.0,4.2,94363
4,154.0,399.0,61.0,4.2,16905
5,149.0,1.0,85.0,3.9,24871
6,176.63,499.0,65.0,4.1,15188
7,229.0,299.0,23.0,4.3,30411
8,499.0,999.0,50.0,4.2,179691
9,199.0,299.0,33.0,4.0,43994
10,154.0,339.0,55.0,4.3,13391
11,299.0,799.0,63.0,4.2,94363
12,219.0,700.0,69.0,4.4,426973
13,350.0,899.0,61.0,4.2,2262
14,159.0,399.0,60.0,4.1,4768
15,349.0,399.0,13.0,4.4,18757
16,13.0,24.0,44.0,4.2,32840
17,249.0,399.0,38.0,4.0,43994
18,199.0,499.0,60.0,4.1,13045
19,13.0,21.0,39.0,4.3,11976
20,970.0,1.0,46.0,4.5,815
21,279.0,499.0,44.0,3.7,10962
22,13.0,22.0,41.0,4.3,16299
23,59.0,199.0,70.0,4.0,9378
24,11.0,19.0,42.0,4.3,4703
25,199.0,699.0,72.0,4.2,12153
26,14.0,19.0,25.0,4.2,34899
27,299.0,399.0,25.0,4.0,2766
28,970.0,1.0,51.0,4.4,184
29,299.0,999.0,70.0,4.3,20850
30,199.0,750.0,73.0,4.5,74976
31,179.0,499.0,64.0,4.0,1934
32,389.0,1.0,65.0,4.3,974
33,599.0,599.0,0.0,4.3,355
34,199.0,999.0,80.0,3.9,1075
35,99.0,666.66,85.0,3.9,24871
36,899.0,1.0,53.0,4.4,13552
37,199.0,999.0,80.0,4.0,576
38,32.0,45.0,28.0,4.2,7298
39,970.0,1.0,51.0,4.2,462
40,209.0,695.0,70.0,4.5,107687
41,19.0,34.0,43.0,4.3,27151
42,399.0,1.0,64.0,4.2,24269
43,999.0,1.0,38.0,4.3,12093
44,59.0,199.0,70.0,4.0,9378
45,333.0,999.0,67.0,3.3,9792
46,507.0,1.0,58.0,4.1,8131
47,309.0,475.0,35.0,4.4,426973
48,399.0,999.0,60.0,3.6,493
49,199.0,395.0,50.0,4.2,92595
50,1.0,2.0,45.0,4.4,24780
51,179.0,500.0,64.0,4.2,92595
52,799.0,2.0,62.0,4.3,8188
53,6.0,12.0,46.0,4.2,4003
54,199.0,349.0,43.0,4.1,314
55,230.0,499.0,54.0,3.7,2960
56,649.0,1.0,54.0,4.2,179691
57,15.0,21.0,27.0,4.2,34899
58,348.0,1.0,77.0,4.2,656
59,154.0,349.0,56.0,4.3,7064
60,179.0,799.0,78.0,3.7,2201
61,32.0,47.0,31.0,4.3,7109
62,139.0,999.0,86.0,4.0,1313
63,329.0,845.0,61.0,4.2,29746
64,13.0,24.0,44.0,4.2,45238
65,309.0,1.0,78.0,4.4,426973
66,263.0,699.0,62.0,4.1,450
67,7.0,14.0,47.0,4.3,457
68,1.0,2.0,47.0,4.2,2727
