product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count
B07JW9H4J1,Wayona Nylon Braided USB to Lightning Fast Charging,Computers&Accessories,399.0,1.0,64.0,4.2,24269
B098NS6PVG,Ambrane Unbreakable 60W / 3A Fast Charging 1,Computers&Accessories,199.0,349.0,43.0,4.0,43994
B096MSW6CT,Sounce Fast Phone Charging Cable,Computers&Accessories,199.0,1.0,90.0,3.9,7928
B08HDJ86NZ,boAt Deuce USB 300 2 in 1 Type-C,Computers&Accessories,329.0,699.0,53.0,4.2,94363
B08CF3B7N1,Portronics Konnect L 1,Computers&Accessories,154.0,399.0,61.0,4.2,16905
B08Y1TFSP6,pTron Solero TB301 3A Type-C Data,Computers&Accessories,149.0,1.0,85.0,3.9,24871
B08WRWPM22,boAt Micro USB 55 Tangle-free,Computers&Accessories,176.63,499.0,65.0,4.1,15188
B08DDRGWTJ,MI Usb Type-C Cable Smartphone,Computers&Accessories,229.0,299.0,23.0,4.3,30411
B008IFXQFU,TP-Link USB WiFi Adapter for PC,Computers&Accessories,499.0,999.0,50.0,4.2,179691
B082LZGK39,Ambrane Unbreakable 60W / 3A Fast Charging 1,Computers&Accessories,199.0,299.0,33.0,4.0,43994
B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1,Computers&Accessories,154.0,339.0,55.0,4.3,13391
B0789LZTCJ,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1,Computers&Accessories,299.0,799.0,63.0,4.2,94363
B07KSMBL2H,AmazonBasics Flexible Premium HDMI Cable,Electronics,219.0,700.0,69.0,4.4,426973
B085DTN6R2,Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1,Computers&Accessories,350.0,899.0,61.0,4.2,2262
B09KLVMZ3B,Portronics Konnect L 1,Computers&Accessories,159.0,399.0,60.0,4.1,4768
B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter,Computers&Accessories,349.0,399.0,13.0,4.4,18757
B0B6F7LX4C,MI 80 cm,Electronics,13.0,24.0,44.0,4.2,32840
B082LSVT4B,Ambrane Unbreakable 60W / 3A Fast Charging 1,Computers&Accessories,249.0,399.0,38.0,4.0,43994
B08WRBG3XW,boAt Type C A325 Tangle-free,Computers&Accessories,199.0,499.0,60.0,4.1,13045
B08DPLCM6T,LG 80 cm,Electronics,13.0,21.0,39.0,4.3,11976
B09C6HXFC1,Duracell USB Lightning Apple Certified,Computers&Accessories,970.0,1.0,46.0,4.5,815
B085194JFL,tizum HDMI to VGA Adapter Cable 1080P for Projector,Electronics,279.0,499.0,44.0,3.7,10962
B09F6S8BT6,Samsung 80 cm,Electronics,13.0,22.0,41.0,4.3,16299
B09NHVCHS9,Flix Micro Usb Cable For Smartphone,Computers&Accessories,59.0,199.0,70.0,4.0,9378
B0B1YVCJ2Y,Acer 80 cm,Electronics,11.0,19.0,42.0,4.3,4703
B01M4GGIVU,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box,Electronics,199.0,699.0,72.0,4.2,12153
B08B42LWKN,OnePlus 80 cm,Electronics,14.0,19.0,25.0,4.2,34899
B094JNXNPV,Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2,Computers&Accessories,299.0,399.0,25.0,4.0,2766
B09W5XR9RT,Duracell USB C To Lightning Apple Certified,Computers&Accessories,970.0,1.0,51.0,4.4,184
B077Z65HSD,boAt A400 USB Type-C to USB-A 2,Computers&Accessories,299.0,999.0,70.0,4.3,20850
B00NH11PEY,AmazonBasics USB 2,Computers&Accessories,199.0,750.0,73.0,4.5,74976
B09CMM3VGK,Ambrane 60W / 3A Type C Fast Charging Unbreakable 1,Computers&Accessories,179.0,499.0,64.0,4.0,1934
B08QSC1XY8,Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3,Computers&Accessories,389.0,1.0,65.0,4.3,974
B008FWZGSG,Samsung Original Type C to C Cable - 3,Computers&Accessories,599.0,599.0,0.0,4.3,355
B0B4HJNPV4,pTron Solero T351 3,Computers&Accessories,199.0,999.0,80.0,3.9,1075
B08Y1SJVV5,pTron Solero MB301 3A Micro USB Data,Computers&Accessories,99.0,666.66,85.0,3.9,24871
B07XLCFSSN,Amazonbasics Nylon Braided Usb-C To Lightning Cable,Computers&Accessories,899.0,1.0,53.0,4.4,13552
B09RZS1NQT,Sounce 65W OnePlus Dash Warp Charge Cable,Computers&Accessories,199.0,999.0,80.0,4.0,576
B0B3MMYHYW,OnePlus 126 cm,Electronics,32.0,45.0,28.0,4.2,7298
B09C6HWG18,Duracell Type C To Type C 5A,Computers&Accessories,970.0,1.0,51.0,4.2,462
B00NH11KIK,AmazonBasics USB 2,Computers&Accessories,209.0,695.0,70.0,4.5,107687
B09JPC82QC,Mi 108 cm,Electronics,19.0,34.0,43.0,4.3,27151
B07JW1Y6XV,Wayona Nylon Braided 3A Lightning to USB A Syncing,Computers&Accessories,399.0,1.0,64.0,4.2,24269
B07KRCW6LZ,TP-Link Nano AC600 USB Wi-Fi Adapter,Computers&Accessories,999.0,1.0,38.0,4.3,12093
B09NJN8L25,FLiX,Computers&Accessories,59.0,199.0,70.0,4.0,9378
B07XJYYH7L,Wecool Nylon Braided Multifunction Fast Charging Cable For Android Smartphone,Computers&Accessories,333.0,999.0,67.0,3.3,9792
B002PD61Y4,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter,Computers&Accessories,507.0,1.0,58.0,4.1,8131
B014I8SSD0,Amazon Basics High-Speed HDMI Cable,Electronics,309.0,475.0,35.0,4.4,426973
B09L8DSSFH,7SEVEN® Compatible for Samsung Smart 4K Ultra HD TV Monitor Remote Control Replacement of Original Samsung TV Remote for LED OLED UHD QLED,Electronics,399.0,999.0,60.0,3.6,493
B07232M876,Amazonbasics Micro Usb Fast Charging Cable For Android Smartphone,Computers&Accessories,199.0,395.0,50.0,4.2,92595
B07P681N66,TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2,Computers&Accessories,1.0,2.0,45.0,4.4,24780
B0711PVX6Z,AmazonBasics Micro USB Fast Charging Cable for Android Phones with Gold Plated Connectors,Computers&Accessories,179.0,500.0,64.0,4.2,92595
B082T6V3DT,AmazonBasics New Release Nylon USB-A to Lightning Cable Cord,Computers&Accessories,799.0,2.0,62.0,4.3,8188
B07MKFNHKG,VW 80 cm,Electronics,6.0,12.0,46.0,4.2,4003
B0BFWGBX61,Ambrane Unbreakable 3A Fast Charging Braided Type C Cable    1,Computers&Accessories,199.0,349.0,43.0,4.1,314
B01N90RZ4M,Tata Sky Universal Remote,Electronics,230.0,499.0,54.0,3.7,2960
B0088TKTY2,TP-LINK WiFi Dongle 300 Mbps Mini Wireless Network USB Wi-Fi Adapter for PC Desktop Laptop,Computers&Accessories,649.0,1.0,54.0,4.2,179691
B09Q5SWVBJ,OnePlus 80 cm,Electronics,15.0,21.0,27.0,4.2,34899
B0B4DT8MKT,Wecool Unbreakable 3 in 1 Charging Cable with 3A Speed,Computers&Accessories,348.0,1.0,77.0,4.2,656
B08CDKQ8T6,Portronics Konnect L 1,Computers&Accessories,154.0,349.0,56.0,4.3,7064
B07B275VN9,Airtel DigitalTV DTH Television,Electronics,179.0,799.0,78.0,3.7,2201
B0B15CPR37,Samsung 108 cm,Electronics,32.0,47.0,31.0,4.3,7109
B0994GFWBH,Lapster 1,Computers&Accessories,139.0,999.0,86.0,4.0,1313
B01GGKZ0V6,AmazonBasics USB Type-C to USB Type-C 2,Computers&Accessories,329.0,845.0,61.0,4.2,29746
B09F9YQQ7B,Redmi 80 cm,Electronics,13.0,24.0,44.0,4.2,45238
B014I8SX4Y,Amazon Basics High-Speed HDMI Cable,Electronics,309.0,1.0,78.0,4.4,426973
B09Q8HMKZX,Portronics Konnect L 20W PD Quick Charge Type-C to 8-Pin USB Mobile Charging Cable,Computers&Accessories,263.0,699.0,62.0,4.1,450
B0B9XN9S3W,Acer 80 cm,Electronics,7.0,14.0,47.0,4.3,457
B07966M8XH,Model-P4 6 Way Swivel Tilt Wall Mount 32-55-inch Full Motion Cantilever for LED,Electronics,1.0,2.0,47.0,4.2,2727
B01GGKYKQM,Amazon Basics USB Type-C to USB-A 2,Computers&Accessories,219.0,700.0,69.0,4.3,20053
B0B86CDHL1,oraimo 65W Type C to C Fast Charging Cable USB C to USB C Cable High Speed Syncing,Computers&Accessories,349.0,899.0,61.0,4.5,149
